Sample_ID,Sample_Code,Collection_Date,Sample_Type,Replicate_Number,Day_aft_Irrigation,Sample_Description,Experimental_Replicate,Amount,Units,DNA_Clean_up,Dilution_1_in_10,Reason,Include_in_analysis,Notes
PK_TS_D_08-02-16_R2,TS,8/2/2017,Soil,2,NA,Composite sample of soil from plants irrigated with tap water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_TS_D_08-24-16_R1,TS,8/24/2017,Soil,1,NA,Composite sample of soil from plants irrigated with tap water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
PK_TS_D_08-24-16_R2,TS,8/24/2017,Soil,2,NA,Composite sample of soil from plants irrigated with tap water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_ZNR_03-31-16,NR,3/31/2016,Water,1,NA,Prefiltration rinse of ZVI filter with Nanopure Water,No,500,mL,No,No,Experiment,Not sure,
PK_ZNR_05-16-16,NR,5/16/2016,Water,1,NA,Prefiltration rinse of ZVI filter with Nanopure Water,No,500,mL,No,No,Experiment,Not sure,
PK_ZNR_06-07-16,NR,6/7/2016,Water,1,NA,Prefiltration rinse of ZVI filter with Nanopure Water,No,500,mL,No,No,Experiment,Not sure,
PK_D4M_08-10-16,BG,8/10/2016,Water,1,NA,Water from Misters in room D4 of the greenhouse,No,500,mL,No,No,Background,Not sure,"Was included to see contribution of misters to lettuce community in case we see something ""weird"" in our lettuce samples we know where it may have come from. "
PK_D4M_08-22-16,BG,8/22/2016,Water,1,NA,Water from Misters in room D4 of the greenhouse ,No,500,mL,No,No,Background,Not sure,"Was included to see contribution of misters to lettuce community in case we see something ""weird"" in our lettuce samples we know where it may have come from. "
PK_D4M_09-06-16,BG,9/6/2016,Water,1,NA,Water from Misters in room D4 of the greenhouse,No,500,mL,No,No,Background,Not sure,"Was included to see contribution of misters to lettuce community in case we see something ""weird"" in our lettuce samples we know where it may have come from. "
PK_B1M_08-22-16,BG,8/22/2016,Water,1,NA,Water from mister in room B4,No,500,mL,No,No,Background,Not sure,"Was included to see contribution of misters to lettuce community in case we see something ""weird"" in our lettuce samples we know where it may have come from. "
PK_ZSS_07-16-16,BG,7/16/2016,Swabs,1,NA,Swabs from inside sprayer that held ZVI filtered reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_ZSS_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside sprayer that held ZVI filtered reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_ZSS_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside sprayer that held ZVI filtered reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RSS_07-16-16,BG,7/16/2016,Swabs,1,NA,Swabs from inside sprayer that held reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RSS_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside sprayer that held reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RSS_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside sprayer that held reclaimed water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_TSS_07-16-16,BG,7/16/2016,Swabs,1,NA,Swabs from inside sprayer that  held tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_TSS_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside sprayer that  held tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_TSS_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside sprayer that  held tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of sprayers to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_ZFS_06-21-16,BG,6/21/2016,Swabs,1,NA,Swabs from inside the ZVI filter including spigot,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of unsubmerged/exposed areas of ZVI filter to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_ZFS_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside the ZVI filter including spigot,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of unsubmerged/exposed areas of ZVI filter to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_ZFS_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside the ZVI filter including spigot,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of unsubmerged/exposed areas of ZVI filter to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_GTS_07-16-16,BG,7/16/2016,Swabs,1,NA,Swabs from inside greenhouse spigot that dispensed tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of tap in the greenhouse to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_GTS_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside greenhouse spigot that dispensed tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of tap in the greenhouse to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_GTS_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside greenhouse spigot that dispensed tap water,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of tap in the greenhouse to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB1S_06-21-16,BG,6/21/2016,Swabs,1,NA,Swabs from inside Rain Barrel 1,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB2S_06-21-16,BG,6/21/2016,Swabs,1,NA,Swabs from inside Rain Barrel 2,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB3S_06-21-16,BG,6/21/2016,Swabs,1,NA,Swabs from inside Rain Barrel 1,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB4S_07-20-16,BG,7/20/2016,Swabs,1,NA,Swabs from inside Rain Barrel 4,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB1S_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside Rain Barrel 1,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB3S_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside Rain Barrel 3,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB4S_08-04-16,BG,8/4/2016,Swabs,1,NA,Swabs from inside Rain Barrel 4,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
